"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",8.375,0.894,9.37,0,6.606,10.144
"sexMale",0.546,0.644,0.849,0.398,-0.728,1.821
"pg_years",-0.072,0.039,-1.826,0.07,-0.15,0.006
"degreePostgraduate degree",0.585,0.685,0.853,0.395,-0.771,1.94
"subspecialty_reiYes",0.826,0.716,1.154,0.251,-0.591,2.242
"facilityPrivate",-0.391,1.064,-0.368,0.714,-2.497,1.714
"facilityPublic",-0.215,0.778,-0.277,0.782,-1.755,1.324
"guideline_accessYes",-0.305,0.656,-0.466,0.642,-1.604,0.993
"provision_durationFive to ten years",1.295,0.747,1.734,0.085,-0.183,2.773
"provision_durationMore than 10 years",2.515,0.913,2.754,0.007,0.707,4.323
